,amount,payment_date,staff_last_name,customer_last_name,address,city
0,2.99,2005-05-25 11:30:37,Hillyer,SMITH,1913 Hanoi Way,Sasebo
1,0.99,2005-05-28 10:35:23,Hillyer,SMITH,1913 Hanoi Way,Sasebo
2,5.99,2005-06-15 00:54:12,Hillyer,SMITH,1913 Hanoi Way,Sasebo
3,4.99,2005-06-16 15:18:57,Hillyer,SMITH,1913 Hanoi Way,Sasebo
4,4.99,2005-06-18 08:41:48,Hillyer,SMITH,1913 Hanoi Way,Sasebo
5,3.99,2005-06-21 06:24:45,Hillyer,SMITH,1913 Hanoi Way,Sasebo
6,5.99,2005-07-08 07:33:56,Hillyer,SMITH,1913 Hanoi Way,Sasebo
7,4.99,2005-07-09 13:24:07,Hillyer,SMITH,1913 Hanoi Way,Sasebo
8,4.99,2005-07-09 16:38:01,Hillyer,SMITH,1913 Hanoi Way,Sasebo
9,7.99,2005-07-11 10:13:46,Hillyer,SMITH,1913 Hanoi Way,Sasebo
10,4.99,2005-07-28 09:04:45,Hillyer,SMITH,1913 Hanoi Way,Sasebo
11,0.99,2005-07-28 17:33:39,Hillyer,SMITH,1913 Hanoi Way,Sasebo
12,0.99,2005-08-02 18:01:38,Hillyer,SMITH,1913 Hanoi Way,Sasebo
13,0.99,2005-08-18 03:57:29,Hillyer,SMITH,1913 Hanoi Way,Sasebo
14,0.99,2005-08-21 23:33:57,Hillyer,SMITH,1913 Hanoi Way,Sasebo
15,1.99,2005-08-22 01:27:57,Hillyer,SMITH,1913 Hanoi Way,Sasebo
16,5.99,2005-08-22 20:03:46,Hillyer,SMITH,1913 Hanoi Way,Sasebo
17,0.99,2005-06-15 18:02:53,Stephens,SMITH,1913 Hanoi Way,Sasebo
18,9.99,2005-06-15 21:08:46,Stephens,SMITH,1913 Hanoi Way,Sasebo
19,0.99,2005-06-18 13:33:59,Stephens,SMITH,1913 Hanoi Way,Sasebo
20,5.99,2005-07-08 03:17:05,Stephens,SMITH,1913 Hanoi Way,Sasebo
21,2.99,2005-07-27 11:31:22,Stephens,SMITH,1913 Hanoi Way,Sasebo
22,4.99,2005-07-28 16:18:23,Stephens,SMITH,1913 Hanoi Way,Sasebo
23,0.99,2005-07-28 19:20:07,Stephens,SMITH,1913 Hanoi Way,Sasebo
24,2.99,2005-07-29 03:58:49,Stephens,SMITH,1913 Hanoi Way,Sasebo
25,2.99,2005-07-31 02:42:18,Stephens,SMITH,1913 Hanoi Way,Sasebo
26,4.99,2005-08-01 08:51:04,Stephens,SMITH,1913 Hanoi Way,Sasebo
27,3.99,2005-08-02 15:36:52,Stephens,SMITH,1913 Hanoi Way,Sasebo
28,4.99,2005-08-17 12:37:54,Stephens,SMITH,1913 Hanoi Way,Sasebo
29,0.99,2005-08-19 09:55:16,Stephens,SMITH,1913 Hanoi Way,Sasebo
30,2.99,2005-08-19 13:56:54,Stephens,SMITH,1913 Hanoi Way,Sasebo
31,2.99,2005-08-22 19:41:37,Stephens,SMITH,1913 Hanoi Way,Sasebo
32,4.99,2005-05-27 00:09:24,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
33,2.99,2005-06-17 20:54:58,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
34,2.99,2005-07-10 06:31:24,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
35,6.99,2005-07-10 12:38:56,Hillyer,JOHNSON,1121 Loja Avenue,San Bernardino
